Control Identifier,Control (or Control Enhancement) Name,Withdrawn,Privacy Baseline,"Security Control Baseline Low","Security Control Baseline Moderate","Security Control Baseline High"
AC-1,Policy and Procedures,,x ,x,x,x
AC-2,Account Management,,,x,x,x
AC-2(1),Account Management | Automated System Account Management,,,,x,x
AC-2(2),Account Management | Automated Temporary and Emergency Account Management,,,,x,x
AC-2(3),Account Management | Disable Accounts,,,,x,x
AC-2(4),Account Management | Automated Audit Actions,,,,x,x
AC-2(5),Account Management | Inactivity Logout,,,,x,x
AC-2(6),Account Management | Dynamic Privilege Management,,,,,
AC-2(7),Account Management | Privileged User Accounts,,,,,
AC-2(8),Account Management | Dynamic Account Management,,,,,
AC-2(9),Account Management | Restrictions on Use of Shared and Group Accounts,,,,,
AC-2(10),Account Management | Shared and Group Account Credential Change,w,,,,
AC-2(11),Account Management | Usage Conditions,,,,,x
AC-2(12),Account Management | Account Monitoring for Atypical Usage,,,,,x
AC-2(13),Account Management | Disable Accounts for High-risk Individuals,,,,x,x
AC-3,Access Enforcement,,,x,x,x
AC-3(1),Access Enforcement | Restricted Access to Privileged Functions,,,,,
AC-3(2),Access Enforcement | Dual Authorization,w,,,,
AC-3(3),Access Enforcement | Mandatory Access Control,,,,,
AC-3(4),Access Enforcement | Discretionary Access Control,,,,,
AC-3(5),Access Enforcement | Security-relevant Information,,,,,
AC-3(6),Access Enforcement | Protection of User and System Information,w,,,,
AC-3(7),Access Enforcement | Role-based Access Control,,,,,
AC-3(8),Access Enforcement | Revocation of Access Authorizations,,,,,
AC-3(9),Access Enforcement | Controlled Release,,,,,
AC-3(10),Access Enforcement | Audited Override of Access Control Mechanisms,,,,,
AC-3(11),Access Enforcement | Restrict Access to Specific Information Types,,,,,
AC-3(12),Access Enforcement | Assert and Enforce Application Access,,,,,
AC-3(13),Access Enforcement | Attribute-based Access Control,,,,,
AC-3(14),Access Enforcement | Individual Access,,x ,,,
AC-3(15),Access Enforcement | Discretionary and Mandatory Access Control,,,,,
AC-4,Information Flow Enforcement,,,,x,x
AC-4(1),Information Flow Enforcement | Object Security and Privacy Attributes,,,,,
AC-4(2),Information Flow Enforcement | Processing Domains,,,,,
AC-4(3),Information Flow Enforcement | Dynamic Information Flow Control,,,,,
AC-4(4),Information Flow Enforcement | Flow Control of Encrypted Information,,,,,x
AC-4(5),Information Flow Enforcement | Embedded Data Types,,,,,
AC-4(6),Information Flow Enforcement | Metadata,,,,,
AC-4(7),Information Flow Enforcement | One-way Flow Mechanisms,,,,,
AC-4(8),Information Flow Enforcement | Security and Privacy Policy Filters,,,,,
AC-4(9),Information Flow Enforcement | Human Reviews,,,,,
AC-4(10),Information Flow Enforcement | Enable and Disable Security or Privacy Policy Filters,,,,,
AC-4(11),Information Flow Enforcement | Configuration of Security or Privacy Policy Filters,,,,,
AC-4(12),Information Flow Enforcement | Data Type Identifiers,,,,,
AC-4(13),Information Flow Enforcement | Decomposition into Policy-relevant Subcomponents,,,,,
AC-4(14),Information Flow Enforcement | Security or Privacy Policy Filter Constraints,,,,,
AC-4(15),Information Flow Enforcement | Detection of Unsanctioned Information,,,,,
AC-4(16),Information Flow Enforcement | Information Transfers on Interconnected Systems,w,,,,
AC-4(17),Information Flow Enforcement | Domain Authentication,,,,,
AC-4(18),Information Flow Enforcement | Security Attribute Binding,w,,,,
AC-4(19),Information Flow Enforcement | Validation of Metadata,,,,,
AC-4(20),Information Flow Enforcement | Approved Solutions,,,,,
AC-4(21),Information Flow Enforcement | Physical or Logical Separation of Information Flows,,,,,
AC-4(22),Information Flow Enforcement | Access Only,,,,,
AC-4(23),Information Flow Enforcement | Modify Non-releasable Information,,,,,
AC-4(24),Information Flow Enforcement | Internal Normalized Format,,,,,
AC-4(25),Information Flow Enforcement | Data Sanitization,,,,,
AC-4(26),Information Flow Enforcement | Audit Filtering Actions,,,,,
AC-4(27),Information Flow Enforcement | Redundant/independent Filtering Mechanisms,,,,,
AC-4(28),Information Flow Enforcement | Linear Filter Pipelines,,,,,
AC-4(29),Information Flow Enforcement | Filter Orchestration Engines,,,,,
AC-4(30),Information Flow Enforcement | Filter Mechanisms Using Multiple Processes,,,,,
AC-4(31),Information Flow Enforcement | Failed Content Transfer Prevention,,,,,
AC-4(32),Information Flow Enforcement | Process Requirements for Information Transfer,,,,,
AC-5,Separation of Duties,,,,x,x
AC-6,Least Privilege,,,,x,x
AC-6(1),Least Privilege | Authorize Access to Security Functions,,,,x,x
AC-6(2),Least Privilege | Non-privileged Access for Nonsecurity Functions,,,,x,x
AC-6(3),Least Privilege | Network Access to Privileged Commands,,,,,x
AC-6(4),Least Privilege | Separate Processing Domains,,,,,
AC-6(5),Least Privilege | Privileged Accounts,,,,x,x
AC-6(6),Least Privilege | Privileged Access by Non-organizational Users,,,,,
AC-6(7),Least Privilege | Review of User Privileges,,,,x,x
AC-6(8),Least Privilege | Privilege Levels for Code Execution,,,,,
AC-6(9),Least Privilege | Log Use of Privileged Functions,,,,x,x
AC-6(10),Least Privilege | Prohibit Non-privileged Users from Executing Privileged Functions,,,,x,x
AC-7,Unsuccessful Logon Attempts,,,x,x,x
AC-7(1),Unsuccessful Logon Attempts | Automatic Account Lock,w,,,,
AC-7(2),Unsuccessful Logon Attempts | Purge or Wipe Mobile Device,,,,,
AC-7(3),Unsuccessful Logon Attempts | Biometric Attempt Limiting,,,,,
AC-7(4),Unsuccessful Logon Attempts | Use of Alternate Authentication Factor,,,,,
AC-8,System Use Notification,,,x,x,x
AC-9,Previous Logon Notification,,,,,
AC-9(1),Previous Logon Notification | Unsuccessful Logons,,,,,
AC-9(2),Previous Logon Notification | Successful and Unsuccessful Logons,,,,,
AC-9(3),Previous Logon Notification | Notification of Account Changes,,,,,
AC-9(4),Previous Logon Notification | Additional Logon Information,,,,,
AC-10,Concurrent Session Control,,,,,x
